"Category","Overheads"
"Salary Expense",31.81
"Interest Expense ",0.59
"Marketing Expense",1.8
"Rental Expense",20.35
"Overflow Expense - Retail",1.23
"Overflow Expense - Warehouse",0.66
"Penalty Expense",6.66
"Depreciation Expense",17.44
"Shipping Expense",4.99
"Human Resource Expense",14.46
